,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
0,0,0,31056997.0,647500.0,48.0,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22,87.65,0,46.6,20.34,0.38,0.24,0.38
1,1,3,3581655.0,28748.0,124.6,1.26,-4.93,21.52,4500.0,86.5,71.2,21.09,4.42,74.49,4,15.11,5.22,0.232,0.188,0.579
2,2,6,32930091.0,2381740.0,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,0,17.14,4.61,0.101,0.6,0.298
3,3,8,57794.0,199.0,290.4,58.29,-20.71,9.27,8000.0,97.0,259.5,10.0,15.0,75.0,2,22.46,3.27,0.15084433962264152,0.28271090047393366,0.5652830188679244
4,4,10,71201.0,468.0,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,4,8.71,6.25,0.15084433962264152,0.28271090047393366,0.5652830188679244
5,5,9,12127071.0,1246700.0,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,2,45.11,24.2,0.096,0.658,0.246
6,6,4,13477.0,102.0,132.1,59.8,10.76,21.03,8600.0,95.0,460.0,0.0,0.0,100.0,2,14.17,5.34,0.04,0.18,0.78
7,7,4,69108.0,443.0,156.0,34.54,-6.15,19.46,11000.0,89.0,549.9,18.18,4.55,77.27,2,16.93,5.37,0.038,0.22,0.743
8,8,4,39921833.0,2766890.0,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,4,16.73,7.55,0.095,0.358,0.547
9,9,2,2976372.0,29800.0,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,5,12.07,8.23,0.239,0.343,0.418
10,10,4,71891.0,193.0,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2,11.03,6.68,0.004,0.333,0.663
11,11,8,20264082.0,7686850.0,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,0,12.14,7.51,0.038,0.262,0.7
12,12,10,8192880.0,83870.0,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,4,8.74,9.76,0.018,0.304,0.678
13,13,2,7961619.0,86600.0,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,0,20.74,9.75,0.141,0.457,0.402
14,14,4,303770.0,13940.0,21.8,25.41,-2.2,25.21,16700.0,95.6,460.6,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9
15,15,5,698585.0,665.0,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,0,17.8,4.14,0.005,0.387,0.608
16,16,0,147365352.0,144000.0,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2,29.8,8.27,0.199,0.198,0.603
17,17,4,279912.0,431.0,649.5,22.51,-0.31,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78
18,18,2,10293011.0,207600.0,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,5,11.16,14.02,0.093,0.316,0.591
19,19,10,10379067.0,30528.0,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,4,10.38,10.27,0.01,0.24,0.749
20,20,4,287730.0,22966.0,12.5,1.68,0.0,25.69,4900.0,94.1,115.7,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612
21,21,9,7862944.0,112620.0,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546
22,22,7,65773.0,53.0,1241.0,194.34,2.49,8.53,36000.0,98.0,851.4,20.0,0.0,80.0,2,11.4,7.74,0.01,0.1,0.89
23,23,0,2279723.0,47000.0,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2,33.65,12.7,0.258,0.379,0.363
24,24,4,8989046.0,1098580.0,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1,23.3,7.53,0.128,0.352,0.52
25,25,3,4498976.0,51129.0,88.0,0.04,0.31,21.05,6100.0,82.83827751196175,215.4,13.6,2.96,83.44,5,8.77,8.27,0.142,0.308,0.55
26,26,9,1639833.0,600370.0,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,0.65,0.01,99.34,0,23.08,29.5,0.024,0.469,0.507
27,27,4,188078227.0,8511965.0,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516
28,28,4,23098.0,153.0,151.0,52.29,10.01,18.05,16000.0,97.8,506.5,20.0,6.67,73.33,2,14.89,4.42,0.018,0.062,0.92
29,29,0,379444.0,5770.0,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,2,18.79,3.45,0.036,0.561,0.403
30,30,3,7385367.0,110910.0,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,4,9.65,14.27,0.093,0.304,0.603
31,31,9,13902972.0,274200.0,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,2,45.62,15.6,0.322,0.196,0.482
